comparison,protofilament_count,coherent_dimers,coherence_fraction,separation_m,eg_model,eg_j,tau_s,decoherence_estimate,decoherence_s,or_favorable,margin_log10,geometry_source_ids,decoherence_source_ids,note
geometry_vs_decoherence,1,13,0.500000,1.000000e-09,gaussian,3.502442e-45,3.010962e+10,water_map_protection_proxy,3.162278e-03,no,-12.978705,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ordered-water or MAP-protected coherence; bounded sensitivity row only.
geometry_vs_decoherence,1,13,0.500000,1.000000e-08,gaussian,3.721236e-44,2.833929e+09,tegmark_microtubule_critical,3.162278e-17,no,-25.952389,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,tegmark_2000_decoherence,Tegmark's critical brain/microtubule decoherence range.
geometry_vs_decoherence,1,13,0.500000,1.000000e-08,gaussian,3.721236e-44,2.833929e+09,hagan_corrected_orch_or,3.162278e-05,no,-13.952389,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Hagan/Hameroff/Tuszynski corrected estimate range.
geometry_vs_decoherence,1,13,0.500000,1.000000e-08,gaussian,3.721236e-44,2.833929e+09,hagan_actin_gel_extension,3.162278e-02,no,-10.952389,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Additional actin-gel enhancement range asserted by Hagan/Hameroff/Tuszynski.
geometry_vs_decoherence,1,13,0.500000,1.000000e-08,gaussian,3.721236e-44,2.833929e+09,ion_collision_damping_proxy,1.000000e-13,no,-22.452389,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ion-collision or solvent-scattering damping; bounded sensitivity row only.
geometry_vs_decoherence,1,13,0.500000,1.000000e-08,gaussian,3.721236e-44,2.833929e+09,water_map_protection_proxy,3.162278e-03,no,-11.952389,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ordered-water or MAP-protected coherence; bounded sensitivity row only.
geometry_vs_decoherence,1,13,0.100000,1.000000e-09,gaussian,9.729005e-47,1.083946e+12,tegmark_microtubule_critical,3.162278e-17,no,-28.535008,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,tegmark_2000_decoherence,Tegmark's critical brain/microtubule decoherence range.
geometry_vs_decoherence,1,13,0.100000,1.000000e-09,gaussian,9.729005e-47,1.083946e+12,hagan_corrected_orch_or,3.162278e-05,no,-16.535008,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Hagan/Hameroff/Tuszynski corrected estimate range.
geometry_vs_decoherence,1,13,0.100000,1.000000e-09,gaussian,9.729005e-47,1.083946e+12,hagan_actin_gel_extension,3.162278e-02,no,-13.535008,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Additional actin-gel enhancement range asserted by Hagan/Hameroff/Tuszynski.
geometry_vs_decoherence,1,13,0.100000,1.000000e-09,gaussian,9.729005e-47,1.083946e+12,ion_collision_damping_proxy,1.000000e-13,no,-25.035008,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ion-collision or solvent-scattering damping; bounded sensitivity row only.
geometry_vs_decoherence,1,13,0.100000,1.000000e-09,gaussian,9.729005e-47,1.083946e+12,water_map_protection_proxy,3.162278e-03,no,-14.535008,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ordered-water or MAP-protected coherence; bounded sensitivity row only.
geometry_vs_decoherence,1,13,0.100000,1.000000e-08,gaussian,1.033677e-45,1.020214e+11,tegmark_microtubule_critical,3.162278e-17,no,-27.508691,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,tegmark_2000_decoherence,Tegmark's critical brain/microtubule decoherence range.
geometry_vs_decoherence,1,13,0.100000,1.000000e-08,gaussian,1.033677e-45,1.020214e+11,hagan_corrected_orch_or,3.162278e-05,no,-15.508691,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Hagan/Hameroff/Tuszynski corrected estimate range.
geometry_vs_decoherence,1,13,0.100000,1.000000e-08,gaussian,1.033677e-45,1.020214e+11,hagan_actin_gel_extension,3.162278e-02,no,-12.508691,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Additional actin-gel enhancement range asserted by Hagan/Hameroff/Tuszynski.
